,state,season,mmwr_week,age_category,sex,race,rate
0,Entire Network (RSV-NET),2014-2015,Overall,Overall,Overall,Overall,4.4
1,Entire Network (RSV-NET),2015-2016,Overall,Overall,Overall,Overall,6.7
2,Entire Network (RSV-NET),2016-2017,Overall,Overall,Overall,Overall,8.5
3,Entire Network (RSV-NET),2017-2018,Overall,Overall,Overall,Overall,8.6
4,Entire Network (RSV-NET),2018-2019,Overall,Overall,Overall,Overall,24.3
5,Entire Network (RSV-NET),2019-2020,Overall,Overall,Overall,Overall,30.6
6,Entire Network (RSV-NET),2020-2021,Overall,Overall,Overall,Overall,12.9
7,Entire Network (RSV-NET),2021-2022,Overall,Overall,Overall,Overall,28.3
8,Entire Network (RSV-NET),2022-2023,Overall,Overall,Overall,Overall,49.8
9,Entire Network (RSV-NET),2014-2015,Overall,Overall,Overall,"A/PI, non-Hispanic",0.5
10,Entire Network (RSV-NET),2014-2015,Overall,Overall,Overall,"AI/AN, non-Hispanic",1.8
11,Entire Network (RSV-NET),2014-2015,Overall,Overall,Overall,"Black, non-Hispanic",5
12,Entire Network (RSV-NET),2014-2015,Overall,Overall,Overall,Hispanic,0.9
13,Entire Network (RSV-NET),2014-2015,Overall,Overall,Overall,"White, non-Hispanic",3.3
14,Entire Network (RSV-NET),2015-2016,Overall,Overall,Overall,"A/PI, non-Hispanic",2.5
15,Entire Network (RSV-NET),2015-2016,Overall,Overall,Overall,"AI/AN, non-Hispanic",7
16,Entire Network (RSV-NET),2015-2016,Overall,Overall,Overall,"Black, non-Hispanic",7.4
17,Entire Network (RSV-NET),2015-2016,Overall,Overall,Overall,Hispanic,3.4
18,Entire Network (RSV-NET),2015-2016,Overall,Overall,Overall,"White, non-Hispanic",5.6
19,Entire Network (RSV-NET),2016-2017,Overall,Overall,Overall,"A/PI, non-Hispanic",6.8
20,Entire Network (RSV-NET),2016-2017,Overall,Overall,Overall,"AI/AN, non-Hispanic",3.8
21,Entire Network (RSV-NET),2016-2017,Overall,Overall,Overall,"Black, non-Hispanic",8.3
22,Entire Network (RSV-NET),2016-2017,Overall,Overall,Overall,Hispanic,3.8
23,Entire Network (RSV-NET),2016-2017,Overall,Overall,Overall,"White, non-Hispanic",9.4
24,Entire Network (RSV-NET),2017-2018,Overall,Overall,Overall,"A/PI, non-Hispanic",7.2
25,Entire Network (RSV-NET),2017-2018,Overall,Overall,Overall,"AI/AN, non-Hispanic",14
26,Entire Network (RSV-NET),2017-2018,Overall,Overall,Overall,"Black, non-Hispanic",7.8
27,Entire Network (RSV-NET),2017-2018,Overall,Overall,Overall,Hispanic,4.3
28,Entire Network (RSV-NET),2017-2018,Overall,Overall,Overall,"White, non-Hispanic",9.1
29,Entire Network (RSV-NET),2018-2019,Overall,Overall,Overall,"A/PI, non-Hispanic",16.5
30,Entire Network (RSV-NET),2018-2019,Overall,Overall,Overall,"AI/AN, non-Hispanic",37.1
